ID,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth,_norm_name,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,_norm_name,Image 1 Path
A001,Aardvark,105-130,40-65,Grey,20-30,Insectivore,"Savannas, Grasslands","Lions, Hyenas",40,Africa,Least Concern,Orycteropodidae,210-240,40,Solitary,1,aardvark,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,aardvark,Images/Aardvark.jpg
A002,African Elephant,270-310,2700-6000,Grey,60-70,Herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,640-660,40,Herd-based,1,african elephant,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,elephant,Images/African Elephant.jpg
A003,African Lion,80-110,120-250,Tan,10-14,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,98-105,80,Group-based,2-4 (usually),african lion,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lion,Images/African Lion.jpg
A004,Amazon Rainforest Frog,2-13,Up to 0.5,Various,4-17,Insectivore,Amazon Rainforest,"Birds, Snakes",0.1-1,Amazon Rainforest,Not Evaluated,Dendrobatidae,10-15,0.8,Solitary,Up to 40,amazon rainforest frog,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,Images/Amazon Rainforest Frog.jpg
A005,Arabian Oryx,70-90,65-90,White,10-20,Herbivore,Desert,"Lions, Leopards",55,Middle East,Vulnerable,Bovidae,210-240,55,Herd-based,1,arabian oryx,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,oryx,Images/Arabian Oryx.jpg
A006,Asian Elephant,200-300,2000-5000,Grey,60-80,Herbivore,"Grasslands, Forests","Tigers, Leopards",40,Asia (Southeast),Endangered,Elephantidae,640-660,40,Herd-based,1,asian elephant,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,elephant,Images/Asian Elephant.jpg
A007,Atlantic Spotted Dolphin,200-250,120-140,"Gray, White",20-25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",40-64,Worldwide,Least Concern,Delphinidae,360-380,40-64,Group-based,1,atlantic spotted dolphin,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,dolphin,Images/Atlantic Spotted Dolphin.jpg
A008,Australian Fur Seal,112-160,18-40,"Brown, Gray",14-17,Carnivore,Coastal Waters,"Sharks, Orcas",24-40,"Australia, New Zealand",Least Concern,Otariidae,300-350,24-40,Group-based,1,australian fur seal,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,seal,Images/Australian Fur Seal.jpg
A009,Blue-Ringed Octopus,Up to 20,Up to 0.3,"Blue, Brown",6-8 months,Carnivore,"Coral Reefs, Tide Pools",Larger Fish,Not Applicable,Indo-Pacific region,Near Threatened,Octopodidae,50-70,Not Applicable,Solitary,Up to 100,blue ringed octopus,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,octopus,Images/Blue-Ringed Octopus.jpg
A010,Bottlenose Dolphin,200-400,150-650,Grey,20-50,Carnivore,Oceans,"Sharks, Orcas",37,Oceans worldwide,Least Concern,Delphinidae,12 months,64,Social pods,1,bottlenose dolphin,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,dolphin,Images/Bottlenose Dolphin.jpg
A011,Brown Bear,70-120,70-780,Brown,20-30,Omnivore,"Forests, Mountains","Wolves, Tigers",48,"North America, Europe, Asia",Least Concern,Ursidae,180-250,48,Solitary,1-4,brown bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Brown Bear.jpg
A012,Cheetah,70-90,20-72,Tan with Black Spots,10-12,Carnivore,"Grasslands, Savannas","Lions, Hyenas",112,"Africa, Iran, India",Vulnerable,Felidae,90-98,112,Solitary,3-5,cheetah,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,cheetah,Images/Cheetah.jpg
A013,Common Dolphin,200-250,100-135,"Gray, Yellow",20-25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",60,Worldwide,Least Concern,Delphinidae,360-380,60,Group-based,1,common dolphin,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,dolphin,Images/Common Dolphin.jpg
A014,Eastern Gorilla,140-188,73-204,Black,40-50,Herbivore,Rainforests,"Leopards, Humans",40,Democratic Republic of Congo,Endangered,Hominidae,255-270,40,Social groups,1,eastern gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Eastern Gorilla.jpg
A015,Emperor Penguin,100,22-45,"Black, White",15-20,Carnivore,Antarctic,Leopard Seals,2-2.5,Antarctica,Near Threatened,Spheniscidae,62-66,9,Colony-based,1,emperor penguin,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,Images/Emperor Penguin.jpg
A016,Galápagos Penguin,48-53,1.7-2.6,"Black, White",15-20,"Carnivore, Piscivore",Galápagos Islands,"Sharks, Birds",6-7,Galápagos Islands,Endangered,Spheniscidae,38-40,35,Colony-based,1,galapagos penguin,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,Images/Galápagos Penguin.jpg
A017,Galápagos Tortoise,Up to 183,Up to 417,"Brown, Grey",100-150,Herbivore,Galápagos Islands,"Humans, Rats",0.3-0.5,Galápagos Islands,Vulnerable,Testudinidae,135,0.3,Solitary,Up to 16,galapagos tortoise,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,tortoise,Images/Galápagos Tortoise.jpg
A018,Giant Pacific Octopus,Up to 5,Up to 25,"Red, Brown",3-5,Carnivore,Ocean Floor,"Fish, Sharks",24,Pacific Ocean,Data Deficient,Enteroctopodidae,50-70,24,Solitary,"Up to 200,000",giant pacific octopus,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,octopus,Images/Giant Pacific Octopus.jpg
A019,Glass Frog,2.2-7.7,Up to 0.03,"Green, Transparent",10-14 days,Insectivore,Rainforests,"Birds, Snakes",0.8,Central and South America,Least Concern,Centrolenidae,10-20,Not Applicable,Solitary,Up to 30,glass frog,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,Images/Glass Frog.jpg
A020,Golden Poison Dart Frog,3-6,Up to 2.4,Various,10-17,Insectivore,Rainforests,Snakes,0.3,Western Colombia,Near Threatened,Dendrobatidae,14,0.3,Solitary,Up to 40,golden poison dart frog,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,Images/Golden Poison Dart Frog.jpg
A021,Harp Seal,Up to 180,Up to 160,"Silver, Gray",20-35,Carnivore,"Arctic, Atlantic Ocean","Polar Bears, Orcas",19-22,"Arctic, Atlantic Ocean",Least Concern,Phocidae,335,28,Group-based,1,harp seal,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,seal,Images/Harp Seal.jpg
A022,Iberian Lynx,60-70,9-14,Yellowish-brown,10-13,Carnivore,Mediterranean Scrublands,"Humans, Wildcats",70-80,"Spain, Portugal",Endangered,Felidae,63-67,70-80,Solitary,1-4,iberian lynx,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lynx,Images/Iberian Lynx.jpg
A023,Kiwi,25-46,1.0-3.3,Brown,25-50,Omnivore,Forests,"Stoats, Cats",6.4-9.6,New Zealand,Vulnerable,Apterygidae,63-92,9,Solitary,1,kiwi,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,kiwi,Images/Kiwi.jpg
A024,Mountain Gorilla,120-200,70-200,"Black, Brown",35-40,Herbivore,"Rainforests, Mountains","Leopards, Humans",40,"Democratic Republic of Congo, Uganda",Endangered,Hominidae,255-270,40,Group-based,1,mountain gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Mountain Gorilla.jpg
A025,Platypus,10-15,0.7-2.4,Brown,10-17,"Carnivore, Insectivore",Eastern Australia,"Foxes, Birds of Prey",3-7,Australia,Near Threatened,Ornithorhynchidae,10 days (in burrow),9,Solitary,1-3 (rarely 5),platypus,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,platypus,Images/Platypus.jpg
A026,Polar Bear,Up to 160,Up to 700,White,25-30,Carnivore,Arctic,Orcas,40,Arctic,Vulnerable,Ursidae,195-265,40,Solitary,1-2,polar bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Polar Bear.jpg
A027,Red-Eyed Tree Frog,5.1-7.5,Up to 0.1,"Green, Red",Up to 5,Insectivore,Rainforests,"Snakes, Birds",Not Applicable,Central America,Least Concern,Hylidae,5-7,Not Applicable,Solitary,Up to 100,red eyed tree frog,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,Images/Red-Eyed Tree Frog.jpg
A028,Snow Leopard,50-70,22-75,"Grayish-yellow, Black",10-15,Carnivore,"Mountains, Steppes","Humans, Wolves",40-60,Central and South Asia,Vulnerable,Felidae,90-100,40-60,Solitary,1-5,snow leopard,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,leopard,Images/Snow Leopard.jpg
A029,Spectacled Bear,120-200,35-77,"Black, Tan",10-25,Omnivore,Forests,"Jaguars, Pumas",45,South America,Vulnerable,Ursidae,200-294,45,Solitary,1,spectacled bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Spectacled Bear.jpg
A030,Star-Nosed Mole,12-20,Up to 0.06,"Black, Pink",Up to 4,Insectivore,"Wetlands, Forests",Not Applicable,1.2,North America,Least Concern,Talpidae,16-22,1.2,Solitary,2-10,star nosed mole,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,mole,Images/Star-Nosed Mole.jpg
A031,Sun Bear,120-150,27-80,Black,25-30,Omnivore,Tropical Forests,"Tigers, Leopards",32-56,Southeast Asia,Vulnerable,Ursidae,90-150,32-56,Solitary,1-2,sun bear,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,Images/Sun Bear.jpg
A032,Termite,Up to 0.5,Up to 0.02,Varies,Varies,Herbivore,"Forests, Grasslands",Not Applicable,Varies,Worldwide,Not Applicable,Termitoidae,Varies,Varies,Social groups,Varies,termite,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,termite,Images/Termite.jpg
A033,Tuatara,Up to 80,Up to 1.5,Grayish-brown,Up to 100,"Carnivore, Insectivore","Islands, Coastal Areas","Rats, Cats",0.03,New Zealand,Vulnerable,Rhynchocephalia,12-15,Not Applicable,Solitary,Up to 16,tuatara,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,tuatara,Images/Tuatara.jpg
A034,Vulture,Varies,Varies,"Black, Brown",Varies,Carnivore,Various,Not Applicable,Varies,"Africa, Asia, Americas",Varies,Accipitridae,Varies,Varies,Social groups,Varies,vulture,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,vulture,Images/Vulture.jpg
A035,Water Buffalo,200-300,300-1200,Dark Gray,20-25,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles",40,"Asia, Africa",Least Concern,Bovidae,240-270,40,Group-based,30-500,water buffalo,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,buffalo,Images/Water Buffalo.jpg
A036,Western Gorilla,140-200,68-182,Black,30-40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1,western gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Western Gorilla.jpg
A037,Western Lowland Gorilla,140-200,68-181,Black,30-40,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1,western lowland gorilla,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,Images/Western Lowland Gorilla.jpg
A038,Wild Boar,65-100,30-120,"Brown, Black",10-25,Omnivore,"Forests, Grasslands","Tigers, Leopards",20,"Eurasia, North Africa, Americas",Least Concern,Suidae,160-190,20,Group-based,6-30,wild boar,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,boar,Images/Wild Boar.jpg
A039,Yellow-Eyed Penguin,60-65,1-3,"Yellow, White",Up to 20,Carnivore,Coastal Areas,"Seals, Orcas",25,New Zealand,Endangered,Spheniscidae,80-90,25,Solitary,1,yellow eyed penguin,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,Images/Yellow-Eyed Penguin.jpg